,id,player_name,position,games,season,team,goals,shots,xG,assists,xA,key_passes,yellow,red,npg,npxG,xGChain,xGBuildup
585,2381,Rodrigo,AMC,14,2021,Leeds,2,26,2.728224515914917,0,1.8152784928679466,20,5,0,1,1.967055656015873,6.018733020871878,2.827580377459526
586,2381,Rodrigo,Sub,26,2020,Leeds,7,46,5.755642192438245,2,3.200529370456934,31,3,0,7,5.755642192438245,10.81597439199686,4.3486531134694815
587,2381,Rodrigo,FW,27,2019,Valencia,4,41,7.230998303741217,7,5.798694763332605,28,2,1,4,7.230998303741217,14.893739864230156,4.828716371208429
588,2381,Rodrigo,FW,33,2018,Valencia,8,81,14.69782342389226,6,4.1548741944134235,31,3,1,8,13.954545754939318,24.716023348271847,8.055105708539486
589,2381,Rodrigo,FW,37,2017,Valencia,16,92,14.54919939674437,4,3.9083183892071247,34,4,0,15,13.805921794846654,20.068420182913542,5.152238545939326
590,2381,Rodrigo,FWR,19,2016,Valencia,5,31,4.67249490134418,3,2.65850920509547,22,1,0,5,4.67249490134418,8.307720351964235,2.0511110983788967
591,2381,Rodrigo,Sub,25,2015,Valencia,2,38,4.6131651140749454,3,4.804004134610295,24,1,1,2,4.6131651140749454,9.056256301701069,3.3204509653151035
592,2381,Rodrigo,AMR,31,2014,Valencia,3,54,6.729403899982572,4,2.9722642190754414,29,5,2,2,5.986254220828414,11.964737690985203,3.9083205964416265
593,3293,Lucas Moura,AMR,19,2021,Tottenham,2,30,2.946602486073971,3,3.463083155453205,24,2,0,2,2.946602486073971,8.494139224290848,4.02034998126328
594,3293,Lucas Moura,AMR,30,2020,Tottenham,3,18,1.9466326590627432,4,2.0640352852642536,16,1,0,3,1.9466326590627432,7.51403795927763,5.200064562261105
595,3293,Lucas Moura,FW,35,2019,Tottenham,4,56,5.58206464163959,4,3.2798846065998077,35,3,0,4,5.58206464163959,10.088381383568048,3.17877896502614
596,3293,Lucas Moura,AMC,32,2018,Tottenham,10,45,7.591315286234021,0,1.6590780727565289,27,3,0,10,7.591315286234021,13.82257379591465,6.85432219132781
597,3293,Lucas Moura,Sub,6,2017,Tottenham,0,5,0.16364099644124508,1,0.31431299448013306,6,0,0,0,0.16364099644124508,2.2065480053424835,1.882281311787665
598,3293,Lucas Moura,Sub,5,2017,Paris Saint Germain,1,3,1.9084030985832214,1,0.8311662077903748,1,1,0,1,1.9084030985832214,2.739569306373596,0
599,3293,Lucas Moura,AMR,37,2016,Paris Saint Germain,12,66,10.220889555290341,5,6.092719649896026,55,0,0,11,9.460794435814023,22.506100092083216,11.131712997332215
600,3293,Lucas Moura,FWR,36,2015,Paris Saint Germain,9,63,9.757510827854276,4,5.323725610971451,57,3,0,8,8.997415648773313,20.69545454904437,10.380229679867625
